0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/images/logo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:17 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/receiver_add.jsp HTTP/1.1" 200 7796
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/images/logo.png HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/css/bootstrap.min.css HTTP/1.1" 404 1118
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.barfiller.js HTTP/1.1" 404 1119
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/css/swiper.min.css HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.countTo.min.js HTTP/1.1" 404 1121
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/style.css HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/custom.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.js HTTP/1.1" 404 1109
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/images/footer-bg.png HTTP/1.1" 404 1117
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.collapsible.min.js HTTP/1.1" 404 1125
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/swiper.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/jquery.countdown.min.js HTTP/1.1" 404 1123
0:0:0:0:0:0:0:1 - - [11/Dec/2019:11:34:25 +0530] "GET /BBMS/Blood/js/circle-progress.min.js HTTP/1.1" 404 1122
