127.0.0.1 - - [12/Dec/2019:11:54:21 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:25 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/images/emergency-call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/jquery.collapsible.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/swiper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/circle-progress.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/jquery.countTo.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:26 +0530] "GET /BBMS/Designs/js/jquery.barfiller.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:27 +0530] "GET /BBMS/Designs/images/footer-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:27 +0530] "GET /BBMS/Designs/images/hero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:40 +0530] "GET /BBMS/Designs/index.jsp HTTP/1.1" 200 14949
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:41 +0530] "GET /BBMS/Designs/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/css/swiper.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/images/emergency-call.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/jquery.collapsible.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Dec/2019:11:54:42 +0530] "GET /BBMS/Designs/js/swiper.min.js HTTP/1.1" 304 -
